sha,message,author,date
12e6458ed00f8ff279342e6d5fff90a8a745ef15,added copy of MasterMiner code from etherscan,mirathewhite,2019-03-19T16:00:12Z
78d964a1a8d481ffd8152772d7a66e47df54b3db,Update tokendesign.md,cgst,2019-02-25T00:45:23Z
c01e2688122e80063be59ce87a0cacc2d6c5942b,Update tokendesign.md,cgst,2019-02-25T00:06:11Z
fbb6cfeb503ece6719cd456f82e6ef1602145db3, Document multi-issuer contracts according to NatSpec guidelines (#274),walkerq,2019-01-18T15:44:05Z
b3a98530a3d40b3bd14b0bdd14563a2141535d02,CENT-639 & CENT-643 - Remove empty Constructor & Adding getters for controllers and minterManager  (#277),mgrissa,2019-01-17T18:37:26Z
b762bd47908b4ae23a59aa5d9a2a37cdb16bd8b2,Updates dependency installation instructions (#276),Oliver Hudson,2019-01-17T14:20:24Z
acdf6b54182d4992481d3d39123f7408d3c23011,remove hardcoded boolean values being returned from three functions (#275),walkerq,2019-01-17T14:18:34Z
1a627134493ba58ec78c2a4e4ed0777f220b38f2,CENT-631 - No way to decrement an allowance without reconfiguring minter (#249),mgrissa,2019-01-17T14:15:00Z
7ad74d7114d378fc817f9c2889469eb4860a3544,removeController reverts if controllers[C] is 0 (#273),walkerq,2019-01-16T19:47:56Z
43b5f74f27e78806c1e506793ffb7251af55e6e8,prefix parameters in MintController with underscores for consistency (#270),walkerq,2019-01-16T15:13:18Z
b2dc2107319c28dde6501769de239a990a7cc35d,"(style) add newline to configureMinter, reorder visibility modifier in removeMinter (#269)",walkerq,2019-01-16T15:11:07Z
a2b26cdd4ae004bc9d89fb649f61e4796f221244,#252: add null address check (#247),Johnny Liang,2019-01-16T15:06:33Z
71e07c6afed377674a0ebcb16a56d9219efc5242,Adds integrity check on development environment dependencies (#261),Oliver Hudson,2019-01-14T19:28:22Z
87d5a78174a93b9bdf44bb69db9934de4f45b211,Merge pull request #271 from walkerq/explicit-address-cast,Erik Tierney,2019-01-14T19:17:17Z
aa862cd614b0488ca108e59913155b3ee05482e8,Lack of check might lead to gas burn (#248),Johnny Liang,2019-01-14T19:07:31Z
a9cf321387f8bb16e3effc4dcdc164a970cb0fde, Move MinterManagementInterface to its own file (#251),Johnny Liang,2019-01-14T16:12:12Z
0c405cd180183ec23123d5fce83b565082b1e1c0,explicit conversion of minterManager to address type,Walker,2019-01-14T16:05:27Z
4e0047dc2823363b1754ea79e8fdc71da0af6b35,Merge pull request #243 from centrehq/line-spacing,Erik Tierney,2019-01-11T21:26:43Z
1503358c29490677fcf0be9429e1bb245c47be98,Fixes expectRevert not checking revert string (#250),Oliver Hudson,2019-01-11T19:22:34Z
04278df55cf7a6029f43493b63a841d159410c84,visibility modifiers come first per style guide,Walker,2019-01-11T18:13:52Z
cd0ad7a17e129a94e83a1460b965a49a399132fa,modifiers moved to their own line per style guide,Walker,2019-01-11T18:12:10Z
15227091b797c37d87dfd566dbada830c964a0e9,delete unnecessary leading ./ in import Ownable,Walker,2019-01-11T18:01:08Z
8b731f8449a93d0ba7fd4d844c932d1191b6b645,remove extra line in comment of configureController,Walker,2019-01-09T06:00:48Z
b0471f22286611f7d842c680bddec0c964500aa5,remove double space in MintController constructor,Walker,2019-01-09T05:55:28Z
272d0d28d935544e38e23f4423ce66966a61515b,use double quotes in import statements per style guide,Walker,2019-01-09T05:43:09Z
d888649fafd62778ec7356b14d0a024798510a77,line spacing according to Solidity style guide,Walker,2019-01-09T05:27:01Z
f7f81245706ad2e94727ac0b858a144fd4fb5cbe,Added error msgs to require statements in minting/* contracts (#242),mirathewhite,2019-01-10T22:12:24Z
6a587bf2d9261590051102006331626a19143667,Update license year 2019 (#241),mirathewhite,2019-01-09T20:15:29Z
